2026-06-02 00:04:08.414 [https-jsse-nio-0.0.0.0-8443-exec-7] INFO  com.example.demo.controller.AuthController - 用户登录，用户名: admin, 登录类型: user
2026-06-02 00:04:08.420 [https-jsse-nio-0.0.0.0-8443-exec-7] INFO  com.example.demo.controller.AuthController - 管理员登录，用户名: admin
2026-06-02 00:04:08.491 [https-jsse-nio-0.0.0.0-8443-exec-7] INFO  com.example.demo.controller.AuthController - 管理员登录成功: admin
2026-06-02 00:04:09.459 [https-jsse-nio-0.0.0.0-8443-exec-5] INFO  com.example.demo.controller.ProductTypeController - 查询所有商品类型列表
2026-06-02 00:04:09.462 [https-jsse-nio-0.0.0.0-8443-exec-5] INFO  com.example.demo.controller.ProductTypeController - 查询商品类型列表成功，共 4 条记录
2026-06-02 00:04:09.533 [https-jsse-nio-0.0.0.0-8443-exec-3] INFO  com.example.demo.controller.ProductController - 查询所有商品列表
2026-06-02 00:04:09.535 [https-jsse-nio-0.0.0.0-8443-exec-3] INFO  com.example.demo.controller.ProductController - 查询商品列表成功，共 6 条记录
2026-06-02 00:04:09.746 [https-jsse-nio-0.0.0.0-8443-exec-4] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-02 00:04:09.749 [https-jsse-nio-0.0.0.0-8443-exec-4] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 10 条记录
2026-06-02 00:04:09.801 [https-jsse-nio-0.0.0.0-8443-exec-8] INFO  com.example.demo.controller.ProductTypeController - 创建商品类型，名称: 类型_1780329849775
2026-06-02 00:04:09.807 [https-jsse-nio-0.0.0.0-8443-exec-8] INFO  com.example.demo.controller.ProductTypeController - 创建商品类型成功，ID: 12
2026-06-02 00:04:09.859 [https-jsse-nio-0.0.0.0-8443-exec-3] INFO  com.example.demo.controller.ProductTypeController - 查询所有商品类型列表
2026-06-02 00:04:09.862 [https-jsse-nio-0.0.0.0-8443-exec-3] INFO  com.example.demo.controller.ProductTypeController - 查询商品类型列表成功，共 5 条记录
2026-06-02 00:04:09.940 [https-jsse-nio-0.0.0.0-8443-exec-4] INFO  com.example.demo.controller.ProductTypeController - 创建商品类型，名称: 类型_1780329849775
2026-06-02 00:04:09.984 [https-jsse-nio-0.0.0.0-8443-exec-8] INFO  com.example.demo.controller.ProductTypeController - 更新商品类型，ID: 12, 名称: 更新类型_1780329849970
2026-06-02 00:04:09.991 [https-jsse-nio-0.0.0.0-8443-exec-8] INFO  com.example.demo.controller.ProductTypeController - 更新商品类型成功，ID: 12
2026-06-02 00:04:10.030 [https-jsse-nio-0.0.0.0-8443-exec-9] INFO  com.example.demo.controller.ProductTypeController - 删除商品类型，ID: 12
2026-06-02 00:04:10.036 [https-jsse-nio-0.0.0.0-8443-exec-9] INFO  com.example.demo.controller.ProductTypeController - 删除商品类型成功，ID: 12
2026-06-02 00:04:10.071 [https-jsse-nio-0.0.0.0-8443-exec-2] INFO  com.example.demo.controller.ProductTypeController - 查询所有商品类型列表
2026-06-02 00:04:10.074 [https-jsse-nio-0.0.0.0-8443-exec-2] INFO  com.example.demo.controller.ProductTypeController - 查询商品类型列表成功，共 4 条记录
2026-06-02 00:04:10.110 [https-jsse-nio-0.0.0.0-8443-exec-8] INFO  com.example.demo.controller.AuthController - 用户登录，用户名: admin, 登录类型: password
2026-06-02 00:04:10.111 [https-jsse-nio-0.0.0.0-8443-exec-8] INFO  com.example.demo.controller.AuthController - 管理员登录，用户名: admin
2026-06-02 00:04:10.180 [https-jsse-nio-0.0.0.0-8443-exec-8] INFO  com.example.demo.controller.AuthController - 管理员登录成功: admin
2026-06-02 00:04:10.233 [https-jsse-nio-0.0.0.0-8443-exec-9] INFO  com.example.demo.controller.StudentController - 查询所有学生列表
2026-06-02 00:04:10.235 [https-jsse-nio-0.0.0.0-8443-exec-9] INFO  com.example.demo.controller.StudentController - 查询学生列表成功，共 7 条记录
2026-06-02 00:04:10.277 [https-jsse-nio-0.0.0.0-8443-exec-4] INFO  com.example.demo.controller.AuthController - 用户登录，用户名: admin, 登录类型: password
2026-06-02 00:04:10.277 [https-jsse-nio-0.0.0.0-8443-exec-4] INFO  com.example.demo.controller.AuthController - 管理员登录，用户名: admin
