2026-06-09 00:03:35.417 [http-nio-8080-exec-5] INFO  com.example.demo.controller.AuthController - 用户登录，用户名: admin, 登录类型: user
2026-06-09 00:03:35.419 [http-nio-8080-exec-5] INFO  com.example.demo.controller.AuthController - 管理员登录，用户名: admin
2026-06-09 00:03:35.543 [http-nio-8080-exec-5] INFO  com.example.demo.controller.AuthController - 管理员登录成功: admin
2026-06-09 00:03:37.078 [http-nio-8080-exec-8] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-09 00:03:37.083 [http-nio-8080-exec-8] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-09 00:03:37.084 [http-nio-8080-exec-7] INFO  com.example.demo.controller.RolePermissionController - 根据角色查询权限，角色: ADMIN
2026-06-09 00:03:37.093 [http-nio-8080-exec-9] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-09 00:03:37.096 [http-nio-8080-exec-10] INFO  com.example.demo.controller.StudentController - 查询所有学生列表
2026-06-09 00:03:37.097 [http-nio-8080-exec-2] INFO  com.example.demo.controller.ProductController - 查询所有商品列表
2026-06-09 00:03:37.097 [http-nio-8080-exec-1] INFO  com.example.demo.controller.TeacherController - 查询所有教师列表
2026-06-09 00:03:37.098 [http-nio-8080-exec-9] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-09 00:03:37.100 [http-nio-8080-exec-3] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表，筛选条件 - 标题: null, 推送对象: null, 发布人: null, 状态: 已发布, 角色: ADMIN
2026-06-09 00:03:37.106 [http-nio-8080-exec-7] INFO  com.example.demo.controller.RolePermissionController - 查询角色权限成功，角色: ADMIN, 共 8 条记录
2026-06-09 00:03:37.116 [http-nio-8080-exec-2] INFO  com.example.demo.controller.ProductController - 查询商品列表成功，共 6 条记录
2026-06-09 00:03:37.116 [http-nio-8080-exec-10] INFO  com.example.demo.controller.StudentController - 查询学生列表成功，共 7 条记录
2026-06-09 00:03:37.120 [http-nio-8080-exec-3] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表成功，共 2 条记录
2026-06-09 00:03:37.160 [http-nio-8080-exec-1] INFO  com.example.demo.controller.TeacherController - 查询教师列表成功，共 5 条记录
2026-06-09 00:03:39.885 [http-nio-8080-exec-2] INFO  com.example.demo.controller.RolePermissionController - 根据角色查询权限，角色: ADMIN
2026-06-09 00:03:39.887 [http-nio-8080-exec-1] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-09 00:03:39.889 [http-nio-8080-exec-2] INFO  com.example.demo.controller.RolePermissionController - 查询角色权限成功，角色: ADMIN, 共 8 条记录
2026-06-09 00:03:39.892 [http-nio-8080-exec-1] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-09 00:03:39.902 [http-nio-8080-exec-8] INFO  com.example.demo.controller.StudentController - 查询所有学生列表
2026-06-09 00:03:39.902 [http-nio-8080-exec-7] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-09 00:03:39.903 [http-nio-8080-exec-10] INFO  com.example.demo.controller.TeacherController - 查询所有教师列表
2026-06-09 00:03:39.905 [http-nio-8080-exec-9] INFO  com.example.demo.controller.ProductController - 查询所有商品列表
2026-06-09 00:03:39.905 [http-nio-8080-exec-5] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表，筛选条件 - 标题: null, 推送对象: null, 发布人: null, 状态: 已发布, 角色: ADMIN
2026-06-09 00:03:39.906 [http-nio-8080-exec-8] INFO  com.example.demo.controller.StudentController - 查询学生列表成功，共 7 条记录
2026-06-09 00:03:39.906 [http-nio-8080-exec-7] INFO  com.example.demo.controller.UserController - 查询用户列表成功，共 11 条记录
2026-06-09 00:03:39.908 [http-nio-8080-exec-5] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表成功，共 2 条记录
2026-06-09 00:03:39.908 [http-nio-8080-exec-9] INFO  com.example.demo.controller.ProductController - 查询商品列表成功，共 6 条记录
2026-06-09 00:03:39.912 [http-nio-8080-exec-10] INFO  com.example.demo.controller.TeacherController - 查询教师列表成功，共 5 条记录
2026-06-09 00:03:40.647 [http-nio-8080-exec-3] INFO  com.example.demo.controller.AuthController - 用户登录，用户名: admin, 登录类型: user
2026-06-09 00:03:40.647 [http-nio-8080-exec-3] INFO  com.example.demo.controller.AuthController - 管理员登录，用户名: admin
2026-06-09 00:03:40.723 [http-nio-8080-exec-3] INFO  com.example.demo.controller.AuthController - 管理员登录成功: admin
2026-06-09 00:03:42.248 [http-nio-8080-exec-2] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-09 00:03:42.248 [http-nio-8080-exec-4] INFO  com.example.demo.controller.RolePermissionController - 根据角色查询权限，角色: ADMIN
2026-06-09 00:03:42.249 [http-nio-8080-exec-1] INFO  com.example.demo.controller.StudentController - 查询所有学生列表
2026-06-09 00:03:42.249 [http-nio-8080-exec-7] INFO  com.example.demo.controller.TeacherController - 查询所有教师列表
2026-06-09 00:03:42.251 [http-nio-8080-exec-8] INFO  com.example.demo.controller.ProductController - 查询所有商品列表
2026-06-09 00:03:42.251 [http-nio-8080-exec-9] INFO  com.example.demo.controller.AnnouncementController - 查询公告列表，筛选条件 - 标题: null, 推送对象: null, 发布人: null, 状态: 已发布, 角色: ADMIN
